Reaction,First Reactant,First Product,Reactant Formula,Reactant MW,Product Formula,Product MW,MW Difference,Formula Difference
"(+)-catechin + NADP+ + H2O  <-  (2R,3S,4S)-leucocyanidin + NADPH + H+","(2R,3S,4S)-leucocyanidin",(+)-catechin,C15H14O7,306.0739528041,C15H14O6,290.079038182,-15.9949,-O
(+)-cis-abscisic aldehyde + H2O + dioxygen  ->  2-cis-abscisate + hydrogen peroxide + H+,(+)-cis-abscisic aldehyde,2-cis-abscisate,C15H20O3,248.1412445083,C15H19O4,264.1361591304,15.9949,-HO
(+)-cis-isopulegone + NADP+  <-  (-)-isopiperitenone + NADPH + H+,(-)-isopiperitenone,(+)-cis-isopulegone,C10H14O,150.1044650715,C10H16O,152.1201151357,2.0157,H2
"(+)-copalyl diphosphate  ->  (+)-isopimara-7,15-diene + diphosphate",(+)-copalyl diphosphate,"(+)-isopimara-7,15-diene",C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
"(+)-copalyl diphosphate  ->  abieta-7,13-diene + diphosphate",(+)-copalyl diphosphate,"abieta-7,13-diene",C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(+)-copalyl diphosphate  ->  levopimaradiene + diphosphate,(+)-copalyl diphosphate,levopimaradiene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(+)-copalyl diphosphate  ->  miltiradiene + diphosphate,(+)-copalyl diphosphate,miltiradiene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(+)-copalyl diphosphate  ->  neoabietadiene + diphosphate,(+)-copalyl diphosphate,neoabietadiene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(+)-copalyl diphosphate  ->  palustradiene + diphosphate,(+)-copalyl diphosphate,palustradiene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(+)-dihydrokaempferol + 2-oxoglutarate + dioxygen  ->  kaempferol + succinate + CO2 + H2O + H+,(+)-dihydrokaempferol,kaempferol,C15H12O6,288.0633881178,C15H9O6,286.04773805359997,-2.0157,-H3
(+)-dihydrokaempferol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-taxifolin + oxidized [NADPH-hemoprotein reductase] + H2O + H+,(+)-dihydrokaempferol,(+)-taxifolin,C15H12O6,288.0633881178,C15H11O7,304.0583027399,15.9949,-HO
"(+)-gallocatechin + NADP+ + H2O  <-  (2R,3S,4S)-leucodelphinidin + NADPH + H+","(2R,3S,4S)-leucodelphinidin",(+)-gallocatechin,C15H14O8,322.0688674262,C15H14O7,306.0739528041,-15.9949,-O
"(+)-germacrene A + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  germacra-1(10),4,11(13)-trien-12-ol + oxidized [NADPH-hemoprotein reductase] + H2O",(+)-germacrene A,"germacra-1(10),4,11(13)-trien-12-ol",C15H24,204.1878007704,C15H24O,220.1827153925,15.9949,O
(+)-isomenthone + NADP+  <-  (+)-pulegone + NADPH + H+,(+)-pulegone,(+)-isomenthone,C10H16O,152.1201151357,C10H18O,154.1357651999,2.0157,H2
(+)-isomenthone + NADPH + H+  ->  (+)-isomenthol + NADP+,(+)-isomenthone,(+)-isomenthol,C10H18O,154.1357651999,C10H20O,156.1514152641,2.0157,H2
(+)-isomenthone + NADPH + H+  ->  (+)-neoisomenthol + NADP+,(+)-isomenthone,(+)-neoisomenthol,C10H18O,154.1357651999,C10H20O,156.1514152641,2.0157,H2
(+)-lariciresinol + NADP+  <-  (+)-pinoresinol + NADPH + H+,(+)-pinoresinol,(+)-lariciresinol,C20H22O6,358.1416384388,C20H24O6,360.15728850299996,2.0157,H2
(+)-neomenthol + NADP+  <-  (-)-menthone + NADPH + H+,(-)-menthone,(+)-neomenthol,C10H18O,154.1357651999,C10H20O,156.1514152641,2.0157,H2
(+)-pinoresinol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-piperitol + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-pinoresinol,(+)-piperitol,C20H22O6,358.1416384388,C20H20O6,356.12598837459996,-2.0157,-H2
(+)-piperitol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-sesamin + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-piperitol,(+)-sesamin,C20H20O6,356.12598837459996,C20H18O6,354.1103383104,-2.0157,-H2
(+)-pulegone + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-menthofuran + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-pulegone,(+)-menthofuran,C10H16O,152.1201151357,C10H14O,150.1044650715,-2.0157,-H2
(+)-secoisolariciresinol + NADP+  <-  (-)-lariciresinol + NADPH + H+,(-)-lariciresinol,(+)-secoisolariciresinol,C20H24O6,360.15728850299996,C20H26O6,362.1729385672,2.0157,H2
(+)-secoisolariciresinol + UDP-alpha-D-glucose  ->  (+)-secoisolariciresinol monoglucoside + UDP + H+,(+)-secoisolariciresinol,(+)-secoisolariciresinol monoglucoside,C20H26O6,362.1729385672,C26H36O11,524.2257619987,162.0528,C6H10O5
(+)-secoisolariciresinol monoglucoside + UDP-alpha-D-glucose  ->  (+)-secoisolariciresinol diglucoside + UDP + H+,(+)-secoisolariciresinol monoglucoside,(+)-secoisolariciresinol diglucoside,C26H36O11,524.2257619987,C32H46O16,686.2785854302,162.0528,C6H10O5
(+)-taxifolin + 2-oxoglutarate + dioxygen  ->  quercetin + succinate + CO2 + H2O,(+)-taxifolin,quercetin,C15H11O7,304.0583027399,C15H9O7,302.04265267569997,-2.0157,-H2
(+)-taxifolin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-dihydromyricetin + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-taxifolin,(+)-dihydromyricetin,C15H11O7,304.0583027399,C15H11O8,320.053217362,15.9949,O
(+)-taxifolin + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + (+)-3'-methyltaxifolin + H+,(+)-taxifolin,S-adenosyl-L-homocysteine,C15H11O7,304.0583027399,C14H20N6O5S,384.1215884737,80.0633,-CH9N6-O2S
(+)-trans-carveol + NAD+  ->  (+)-carvone + NADH + H+,(+)-trans-carveol,(+)-carvone,C10H16O,152.1201151357,C10H14O,150.1044650715,-2.0157,-H2
(+)-trans-isoalliin  ->  (E)-prop-1-en-1-SO-peroxol + 2-aminoprop-2-enoate,(+)-trans-isoalliin,(E)-prop-1-en-1-SO-peroxol,C6H11NO3S,177.0459639146,C3H6OS,90.0139355047,-87.032,-C3-H5-N-O2
(-)-4'-demethyl-deoxypodophyllotoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-4'-demethyl-epipodophyllotoxin + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-4'-demethyl-deoxypodophyllotoxin,(-)-4'-demethyl-epipodophyllotoxin,C21H20O7,384.1209029966999,C21H20O8,400.1158176187999,15.9949,O
(-)-5'-demethylyatein + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + (-)-yatein + H+,(-)-5'-demethylyatein,S-adenosyl-L-homocysteine,C21H22O7,386.1365530609,C14H20N6O5S,384.1215884737,-2.015,-C7-H2N6-O2S
(-)-borneol + NAD+  ->  (S)-camphor + NADH + H+,(-)-borneol,(S)-camphor,C10H18O,154.1357651999,C10H16O,152.1201151357,-2.0157,-H2
(-)-bornyl-diphosphate + H2O  ->  (-)-borneol + diphosphate,(-)-bornyl-diphosphate,(-)-borneol,C10H17O7P2,314.0684260167,C10H18O,154.1357651999,-159.9327,H-O6-P2
(-)-bursehernin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-5'-demethylyatein + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-bursehernin,(-)-5'-demethylyatein,C21H22O6,370.1416384388,C21H22O7,386.1365530609,15.9949,O
(-)-catechin + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + (-)-3'-methylcatechin + H+,(-)-catechin,S-adenosyl-L-homocysteine,C15H14O6,290.079038182,C14H20N6O5S,384.1215884737,94.0426,-CH6N6-OS
(-)-deoxypodophyllotoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-4'-demethyl-deoxypodophyllotoxin + formaldehyde + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-deoxypodophyllotoxin,(-)-4'-demethyl-deoxypodophyllotoxin,C22H22O7,398.1365530609,C21H20O7,384.1209029966999,-14.0157,-C-H2
(-)-deoxypodophyllotoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-epipodophyllotoxin + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-deoxypodophyllotoxin,(-)-epipodophyllotoxin,C22H22O7,398.1365530609,C22H22O8,414.131467683,15.9949,O
(-)-ent-copalyl diphosphate  ->  dolabradiene + diphosphate,(-)-ent-copalyl diphosphate,dolabradiene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
"(-)-ent-copalyl diphosphate  ->  ent-cassa-12,15-diene + diphosphate",(-)-ent-copalyl diphosphate,"ent-cassa-12,15-diene",C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(-)-ent-copalyl diphosphate  ->  ent-isokaurene + diphosphate,(-)-ent-copalyl diphosphate,ent-isokaurene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(-)-ent-copalyl diphosphate  ->  ent-kaurene + diphosphate,(-)-ent-copalyl diphosphate,ent-kaurene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
"(-)-ent-copalyl diphosphate  ->  ent-pimara-8(14),15-diene + diphosphate",(-)-ent-copalyl diphosphate,"ent-pimara-8(14),15-diene",C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(-)-ent-copalyl diphosphate  ->  ent-sandaracopimaradiene + diphosphate,(-)-ent-copalyl diphosphate,ent-sandaracopimaradiene,C20H33O7P2,450.1936265303,C20H32,272.2504010272,-177.9432,-H-O7-P2
(-)-epiafzelechin + 2 NADP+  <-  pelargonidin + 2 NADPH + 3 H+,pelargonidin,(-)-epiafzelechin,C15H9O5,271.0606484636,C15H14O5,274.0841235599,3.0235,H5
(-)-epicatechin + 2 NADP+  <-  cyanidin + 2 NADPH + 3 H+,cyanidin,(-)-epicatechin,C15H9O6,287.0555630857,C15H14O6,290.079038182,3.0235,H5
(-)-epigallocatechin + 2 NADP+  <-  delphinidin + 2 NADPH + 3 H+,delphinidin,(-)-epigallocatechin,C15H9O7,303.0504777078,C15H14O7,306.0739528041,3.0235,H5
(-)-jasmonate + L-isoleucine + ATP  ->  (-)-jasmonoyl-L-isoleucine + AMP + diphosphate + H+,(-)-jasmonate,(-)-jasmonoyl-L-isoleucine,C12H17O3,210.1255944441,C18H28NO4,323.2096584245,113.0841,C6H11NO
(-)-jasmonate + L-leucine + ATP  ->  (-)-jasmonoyl-L-leucine + AMP + diphosphate + H+,(-)-jasmonate,(-)-jasmonoyl-L-leucine,C12H17O3,210.1255944441,C18H28NO4,323.2096584245,113.0841,C6H11NO
(-)-jasmonate + L-valine + ATP  ->  (-)-jasmonoyl-L-valine + AMP + diphosphate + H+,(-)-jasmonate,(-)-jasmonoyl-L-valine,C12H17O3,210.1255944441,C17H26NO4,309.1940083603,99.0684,C5H9NO
(-)-jasmonate + NADPH + dioxygen + H+  ->  trans-tuberonic acid + NADP+ + H2O,(-)-jasmonate,trans-tuberonic acid,C12H17O3,210.1255944441,C12H17O4,226.1205090662,15.9949,O
(-)-jasmonate + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + (-)-methyl jasmonate,(-)-jasmonate,S-adenosyl-L-homocysteine,C12H17O3,210.1255944441,C14H20N6O5S,384.1215884737,173.996,C2H3N6O2S
(-)-lariciresinol + NADP+  <-  (-)-pinoresinol + NADPH + H+,(-)-pinoresinol,(-)-lariciresinol,C20H22O6,358.1416384388,C20H24O6,360.15728850299996,2.0157,H2
(-)-maackiain-3-O-glucoside + H2O  ->  (-)-maackiain + D-glucopyranose,(-)-maackiain-3-O-glucoside,(-)-maackiain,C22H22O10,446.1212969272,C16H12O5,284.0684734957,-162.0528,-C6-H10-O5
(-)-maackiain-3-O-glucoside + malonyl-CoA  ->  (-)-maackiain-3-O-glucoside-6''-malonate + coenzyme A,(-)-maackiain-3-O-glucoside,(-)-maackiain-3-O-glucoside-6''-malonate,C22H22O10,446.1212969272,C25H23O13,532.1216908577,86.0004,C3HO3
(-)-maackiain-3-O-glucoside-6''-malonate + H2O  ->  malonate + (-)-maackiain-3-O-glucoside + H+,(-)-maackiain-3-O-glucoside-6''-malonate,malonate,C25H23O13,532.1216908577,C3H2O4,104.0109586168,-428.1107,-C22-H21-O9
(-)-matairesinol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-pluviatolide + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(-)-matairesinol,(-)-pluviatolide,C20H22O6,358.1416384388,C20H20O6,356.12598837459996,-2.0157,-H2
(-)-medicarpin + NADPH + H+  ->  (-)-vestitol + NADP+,(-)-medicarpin,(-)-vestitol,C16H14O4,270.0892089378,C16H16O4,272.104859002,2.0157,H2
(-)-medicarpin-3-O-glucoside + H2O  ->  (-)-medicarpin + D-glucopyranose,(-)-medicarpin-3-O-glucoside,(-)-medicarpin,C22H24O9,432.1420323692999,C16H14O4,270.0892089378,-162.0528,-C6-H10-O5
(-)-medicarpin-3-O-glucoside + malonyl-CoA  ->  (-)-medicarpin-3-O-glucoside-6''-malonate + coenzyme A,(-)-medicarpin-3-O-glucoside,(-)-medicarpin-3-O-glucoside-6''-malonate,C22H24O9,432.1420323692999,C25H25O12,518.1424262998,86.0004,C3HO3
(-)-medicarpin-3-O-glucoside-6''-malonate + H2O  ->  malonate + (-)-medicarpin-3-O-glucoside + H+,(-)-medicarpin-3-O-glucoside-6''-malonate,malonate,C25H25O12,518.1424262998,C3H2O4,104.0109586168,-414.1315,-C22-H23-O8
(-)-menthol + NADP+  <-  (-)-menthone + NADPH + H+,(-)-menthone,(-)-menthol,C10H18O,154.1357651999,C10H20O,156.1514152641,2.0157,H2
(-)-menthone + NADP+  <-  (+)-pulegone + NADPH + H+,(+)-pulegone,(-)-menthone,C10H16O,152.1201151357,C10H18O,154.1357651999,2.0157,H2
(-)-methyl jasmonate + H2O  ->  (-)-jasmonate + methanol + H+,(-)-methyl jasmonate,(-)-jasmonate,C13H20O3,224.1412445083,C12H17O3,210.1255944441,-14.0157,-C-H3
"(-)-secoisolariciresinol + NAD+  ->  (3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol + NADH + H+",(-)-secoisolariciresinol,"(3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol",C20H26O6,362.1729385672,C20H24O6,360.15728850299996,-2.0157,-H2
(-)-secoisolariciresinol + NADP+  <-  (+)-lariciresinol + NADPH + H+,(+)-lariciresinol,(-)-secoisolariciresinol,C20H24O6,360.15728850299996,C20H26O6,362.1729385672,2.0157,H2
(-)-thujaplicatin + S-adenosyl-L-methionine  ->  5-O-methylthujaplicatin + S-adenosyl-L-homocysteine + H+,(-)-thujaplicatin,5-O-methylthujaplicatin,C20H22O7,374.1365530609,C21H24O7,388.1522031251,14.0157,CH2
(-)-trans-carveol + NADP+  ->  (-)-carvone + NADPH + H+,(-)-trans-carveol,(-)-carvone,C10H16O,152.1201151357,C10H14O,150.1044650715,-2.0157,-H2
(-)-trans-isopiperitenol + NAD+  ->  (-)-isopiperitenone + NADH + H+,(-)-trans-isopiperitenol,(-)-isopiperitenone,C10H16O,152.1201151357,C10H14O,150.1044650715,-2.0157,-H2
(-)-yatein + 2-oxoglutarate + dioxygen  ->  (-)-deoxypodophyllotoxin + succinate + CO2 + H2O,(-)-yatein,(-)-deoxypodophyllotoxin,C22H24O7,400.1522031251,C22H22O7,398.1365530609,-2.0157,-H2
(11R)-dihydroartemisinic aldehyde + NADP+  <-  artemisinic aldehyde + NADPH + H+,artemisinic aldehyde,(11R)-dihydroartemisinic aldehyde,C15H22O,218.1670653283,C15H24O,220.1827153925,2.0157,H2
(11R)-dihydroartemisinic aldehyde + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  dihydroartemisinate + oxidized [NADPH-hemoprotein reductase] + H2O + H+,(11R)-dihydroartemisinic aldehyde,dihydroartemisinate,C15H24O,220.1827153925,C15H23O2,236.1776300146,15.9949,-HO
"(11Z,14Z)-icosadienoyl-CoA + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  sciadonoyl-CoA + 2 ferricytochrome b5 + 2 H2O","(11Z,14Z)-icosadienoyl-CoA",sciadonoyl-CoA,C41H66N7O17P3S,1057.3761740791,C41H64N7O17P3S,1055.3605240149,-2.0157,-H2
"(11Z,14Z,17Z)-icosatrienoyl-CoA + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  juniperonoyl-CoA + 2 ferricytochrome b5 + 2 H2O","(11Z,14Z,17Z)-icosatrienoyl-CoA",juniperonoyl-CoA,C41H64N7O17P3S,1055.3605240149,C41H62N7O17P3S,1053.3448739507,-2.0157,-H2
"(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate + H2O  ->  9,10-DiHODE","(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate","9,10-DiHODE",C18H29O3,294.2194948293,C18H31O4,312.2300595156,18.0106,H2O
"(13E)-labda-7,13-dien-15-yl diphosphate + H2O  ->  (13E)-labda-7,13-dien-15-ol + diphosphate","(13E)-labda-7,13-dien-15-yl diphosphate","(13E)-labda-7,13-dien-15-ol",C20H33O7P2,450.1936265303,C20H34O,290.2609657135,-159.9327,H-O6-P2
(13S)-HPODE  ->  (9Z)-traumatin + 1-hexanal,(13S)-HPODE,(9Z)-traumatin,C18H31O4,312.2300595156,C12H19O3,212.1412445083,-100.0888,-C6-H12-O
(13S)-HPODE  ->  etheroleate + H2O,(13S)-HPODE,etheroleate,C18H31O4,312.2300595156,C18H29O3,294.2194948293,-18.0106,-H2-O
"(13S,14R)-13-O-acetyl-1-hydroxy-cis-N-methylcanadine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (13S,14R)-13-O-acetyl-1,8-dihydroxy-cis-N-methylcanadine + oxidized [NADPH-hemoprotein reductase] + H2O","(13S,14R)-13-O-acetyl-1-hydroxy-cis-N-methylcanadine","(13S,14R)-13-O-acetyl-1,8-dihydroxy-cis-N-methylcanadine",C23H26NO7,429.1787522266,C23H26NO8,445.1736668487,15.9949,O
"(1E,2S)-2-methylbutanal oxime  ->  (1Z,2S)-2-methylbutanal oxime","(1E,2S)-2-methylbutanal oxime","(1Z,2S)-2-methylbutanal oxime",C5H11NO,101.0840639804,C5H11NO,101.0840639804,0.0,No difference
(1H-indol-3-yl)-N-methylmethanamine + S-adenosyl-L-methionine  ->  gramine + S-adenosyl-L-homocysteine + H+,(1H-indol-3-yl)-N-methylmethanamine,gramine,C10H13N2,160.1000483956,C11H15N2,174.1156984598,14.0157,CH2
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate  ->  2-succinylbenzoate + H2O","(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",2-succinylbenzoate,C11H10O6,240.0633881178,C11H8O5,222.05282343149997,-18.0106,-H2-O
"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine  ->  L-tryptophan + D-glyceraldehyde 3-phosphate + H2O","(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate",L-tryptophan,C11H12NO6P,287.05587369719996,C11H12N2O2,204.0898776398,-82.966,N-O4-P
"(1Z,2S)-2-methylbutanal oxime  ->  (2S)-methylbutanenitrile + H2O","(1Z,2S)-2-methylbutanal oxime",(2S)-methylbutanenitrile,C5H11NO,101.0840639804,C5H9N,83.0734992941,-18.0106,-H2-O
"(20R,22R)-dihydroxycholesterol + 2 reduced  adrenodoxin + dioxygen + 2 H+  ->  pregnenolone + 4-methylpentanal + 2 oxidized adrenodoxin + 2 H2O","(20R,22R)-dihydroxycholesterol",pregnenolone,C27H46O3,418.3446953429,C21H32O2,316.2402302714,-102.1045,-C6-H14-O
(20S)-ginsenoside Rg3 + H2O  ->  (20S)-ginsenoside Rh2 + D-glucopyranose,(20S)-ginsenoside Rg3,(20S)-ginsenoside Rh2,C42H72O13,784.4972923985,C36H62O8,622.444468967,-162.0528,-C6-H10-O5
"(22R)-22-hydroxycholesterol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (22R)-22,26-dihydroxycholesterol + oxidized [NADPH-hemoprotein reductase] + H2O",(22R)-22-hydroxycholesterol,"(22R)-22,26-dihydroxycholesterol",C27H46O2,402.3497807208,C27H46O3,418.3446953429,15.9949,O
"(22S)-22-hydroxy-campest-4-en-3-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (22R,23R)-22,23-dihydroxy-campest-4-en-3-one + oxidized [NADPH-hemoprotein reductase] + H2O",(22S)-22-hydroxy-campest-4-en-3-one,"(22R,23R)-22,23-dihydroxy-campest-4-en-3-one",C28H46O2,414.3497807208,C28H46O3,430.3446953429,15.9949,O
"(22S)-22-hydroxycampesterol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (22R,23R)-22,23-dihydroxycampesterol + oxidized [NADPH-hemoprotein reductase] + H2O",(22S)-22-hydroxycampesterol,"(22R,23R)-22,23-dihydroxycampesterol",C28H48O2,416.365430785,C28H48O3,432.3603454071,15.9949,O
(22S)-22-hydroxycampesterol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (22S)-22-hydroxy-campest-4-en-3-one + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(22S)-22-hydroxycampesterol,(22S)-22-hydroxy-campest-4-en-3-one,C28H48O2,416.365430785,C28H46O2,414.3497807208,-2.0157,-H2
"(2E,6E)-farnesal + NAD+ + H2O  ->  (2E,6E)-farnesoate + NADH + 2 H+","(2E,6E)-farnesal","(2E,6E)-farnesoate",C15H24O,220.1827153925,C15H23O2,236.1776300146,15.9949,-HO
"(2E,6E)-farnesoate + S-adenosyl-L-methionine  ->  methyl (2E,6E)-farnesoate + S-adenosyl-L-homocysteine","(2E,6E)-farnesoate","methyl (2E,6E)-farnesoate",C15H23O2,236.1776300146,C16H26O2,250.1932800788,14.0157,CH3
"(2E,6E)-farnesol + ATP  ->  (2E,6E)-farnesyl phosphate + ADP + H+","(2E,6E)-farnesol","(2E,6E)-farnesyl phosphate",C15H26O,222.1983654567,C15H25O4P,302.1646958651,79.9663,-HO3P
"(2E,6E)-farnesol + NADP+  <-->  (2E,6E)-farnesal + NADPH + H+","(2E,6E)-farnesol","(2E,6E)-farnesal",C15H26O,222.1983654567,C15H24O,220.1827153925,-2.0157,-H2
"(2E,6E)-farnesyl diphosphate  ->  (+)-5-epi-aristolochene + diphosphate","(2E,6E)-farnesyl diphosphate",(+)-5-epi-aristolochene,C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
"(2E,6E)-farnesyl diphosphate  ->  (+)-amorpha-4,11-diene + diphosphate","(2E,6E)-farnesyl diphosphate","(+)-amorpha-4,11-diene",C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
"(2E,6E)-farnesyl diphosphate  ->  (+)-germacrene A + diphosphate","(2E,6E)-farnesyl diphosphate",(+)-germacrene A,C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
"(2E,6E)-farnesyl diphosphate  ->  (+)-germacrene D + diphosphate","(2E,6E)-farnesyl diphosphate",(+)-germacrene D,C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
"(2E,6E)-farnesyl diphosphate  ->  (+)-isoitalicene + diphosphate","(2E,6E)-farnesyl diphosphate",(+)-isoitalicene,C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
"(2E,6E)-farnesyl diphosphate  ->  (+)-sativene + diphosphate","(2E,6E)-farnesyl diphosphate",(+)-sativene,C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
"(2E,6E)-farnesyl diphosphate  ->  (+)-thujopsene + diphosphate","(2E,6E)-farnesyl diphosphate",(+)-thujopsene,C15H25O7P2,382.1310262735,C15H24,204.1878007704,-177.9432,-H-O7-P2
