Reaction Object ID,Reaction-List,Reactants of reaction,Reactants-Object ID,Reactants-Chemical Formula,Reactants-Monoisotopic-Molecular-Weight,Products of reaction,Products-Object ID,Products-Chemical Formula,Products-Monoisotopic-Molecular-Weight
RXN-1481,"(+)-afzelechin + NADP+ + H2O  <-  (2R,3S,4S)-leucopelargonidin + NADPH + H+","(2<i>R</i>,3<i>S</i>,4<i>S</i>)-leucopelargonidin // NADPH // H<SUP>+</SUP>",LEUCOPELARGONIDIN-CMPD // NADPH // PROTON,C15H14O6 // C21H26N7O17P3 // H,290.079038182d0 // 745.0911021051d0 // 1.0078250321d0,(+)-afzelechin // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-1962 // NADP // WATER,C15H14O5 // C21H25N7O17P3 // H2O,274.0841235599d0 // 745.0911021051d0 // 18.0105646863d0
RXN-8050,"amorpha-4,11-diene 12 monooxygenase","(+)-amorpha-4,11-diene // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-7554 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H24 // O2 // ,204.1878007704d0 // 31.9898292442d0,artemisinic alcohol // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-7556 // Ox-NADPH-Hemoprotein-Reductases // WATER,C15H24O //  // H2O,220.1827153925d0 // 18.0105646863d0
(+)-@BORNEOL-@DEHYDROGENASE-@RXN,(+)-borneol + NAD+  <-->  (R)-camphor + NADH + H+,(+)-borneol // NAD<sup>+</sup>,CPD-1903 // NAD,C10H18O // C21H26N7O14P2,154.1357651999d0 // 665.1247716966999d0,(<i>R</i>)-camphor // NADH // H<SUP>+</SUP>,CPD-862 // NADH // PROTON,C10H16O // C21H27N7O14P2 // H,152.1201151357d0 // 665.1247716966999d0 // 1.0078250321d0
RXN-13046,(+)-bornyl diphosphate hydrolase,(+)-bornyl-diphosphate // H<sub>2</sub>O,+-bornyl-diphosphate // WATER,C10H17O7P2 // H2O,314.0684260167d0 // 18.0105646863d0,(+)-borneol // diphosphate,CPD-1903 // PPI,C10H18O // HO7P2,154.1357651999d0 // 177.9432255031d0
RXN-1484,"(+)-catechin + NADP+ + H2O  <-  (2R,3S,4S)-leucocyanidin + NADPH + H+","(2<i>R</i>,3<i>S</i>,4<i>S</i>)-leucocyanidin // NADPH // H<SUP>+</SUP>",CPD-590 // NADPH // PROTON,C15H14O7 // C21H26N7O17P3 // H,306.0739528041d0 // 745.0911021051d0 // 1.0078250321d0,(+)-catechin // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-1961 // NADP // WATER,C15H14O6 // C21H25N7O17P3 // H2O,290.079038182d0 // 745.0911021051d0 // 18.0105646863d0
RXN-19644,"(+)-cis,trans-nepetalactol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  7-deoxyloganetic alcohol + oxidized [NADPH-hemoprotein reductase] + H2O","(+)-<i>cis,trans</i>-nepetalactol // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-15030 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C10H16O2 // O2 // ,168.1150297578d0 // 31.9898292442d0,7-deoxyloganetic alcohol // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-21280 // WATER // Ox-NADPH-Hemoprotein-Reductases,C10H16O3 // H2O // ,184.10994437989999d0 // 18.0105646863d0
RXN4FS-20,(+)-cis-abscisic aldehyde + a reduced two electron carrier  ->  cis-abscisic alcohol + an oxidized electron carrier,(+)-<i>cis</i>-abscisic aldehyde // a reduced two electron carrier,CPD-692 // Donor-H2,C15H20O3 // ,248.1412445083d0,<i>cis</i>-abscisic alcohol // an oxidized electron carrier,CPD4FS-7 // Acceptor,C15H22O3 // ,250.1568945725d0
1.2.3.14-RXN,(+)-cis-abscisic aldehyde + H2O + dioxygen  ->  2-cis-abscisate + hydrogen peroxide + H+,(+)-<i>cis</i>-abscisic aldehyde // H<sub>2</sub>O // dioxygen,CPD-692 // WATER // OXYGEN-MOLECULE,C15H20O3 // H2O // O2,248.1412445083d0 // 18.0105646863d0 // 31.9898292442d0,H<SUP>+</SUP> // 2-<i>cis</i>-abscisate // hydrogen peroxide,PROTON // CPD-693 // HYDROGEN-PEROXIDE,H // C15H19O4 // H2O2,1.0078250321d0 // 264.1361591304d0 // 34.0054793084d0
RXN-19718,(+)-cis-abscisic aldehyde + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2-cis-abscisate + oxidized [NADPH-hemoprotein reductase] + H2O + H+,(+)-<i>cis</i>-abscisic aldehyde // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-692 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C15H20O3 //  // O2,248.1412445083d0 // 31.9898292442d0,2-<i>cis</i>-abscisate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>,CPD-693 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C15H19O4 //  // H2O // H,264.1361591304d0 // 18.0105646863d0 // 1.0078250321d0
RXN-5162,(+)-cis-isopulegone  <-->  (+)-pulegone,(+)-<i>cis</i>-isopulegone,CPD-4941,C10H16O,152.1201151357d0,(+)-pulegone,CPD-4942,C10H16O,152.1201151357d0
RXN-5161,(+)-cis-isopulegone + NADP+  <-  (-)-isopiperitenone + NADPH + H+,(-)-isopiperitenone // NADPH // H<SUP>+</SUP>,CPD-1090 // NADPH // PROTON,C10H14O // C21H26N7O17P3 // H,150.1044650715d0 // 745.0911021051d0 // 1.0078250321d0,(+)-<i>cis</i>-isopulegone // NADP<sup>+</sup>,CPD-4941 // NADP,C10H16O // C21H25N7O17P3,152.1201151357d0 // 745.0911021051d0
RXN-8514,"(+)-copalyl diphosphate  ->  (+)-isopimara-7,15-diene + diphosphate",(+)-copalyl diphosphate,CPD-4750,C20H33O7P2,450.1936265303d0,"(+)-isopimara-7,15-diene // diphosphate",CPD-8699 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
4.2.3.18-RXN,"(+)-copalyl diphosphate  ->  abieta-7,13-diene + diphosphate",(+)-copalyl diphosphate,CPD-4750,C20H33O7P2,450.1936265303d0,"diphosphate // abieta-7,13-diene",PPI // --ABIETADIENE,HO7P2 // C20H32,177.9432255031d0 // 272.2504010272d0
RXN-8511,(+)-copalyl diphosphate  ->  levopimaradiene + diphosphate,(+)-copalyl diphosphate,CPD-4750,C20H33O7P2,450.1936265303d0,levopimaradiene // diphosphate,CPD-8695 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-13338,(+)-copalyl diphosphate  ->  miltiradiene + diphosphate,(+)-copalyl diphosphate,CPD-4750,C20H33O7P2,450.1936265303d0,miltiradiene // diphosphate,CPD-14312 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-8512,(+)-copalyl diphosphate  ->  neoabietadiene + diphosphate,(+)-copalyl diphosphate,CPD-4750,C20H33O7P2,450.1936265303d0,neoabietadiene // diphosphate,CPD-8696 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-8513,(+)-copalyl diphosphate  ->  palustradiene + diphosphate,(+)-copalyl diphosphate,CPD-4750,C20H33O7P2,450.1936265303d0,palustradiene // diphosphate,CPD-8697 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-15533,costunolide 3-hydroxylase,"(+)-costunolide (12,6&alpha;) // a reduced [NADPH-hemoprotein reductase] // dioxygen",CPD-9410 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C15H20O2 //  // O2,232.1463298862d0 // 31.9898292442d0,3&beta;-hydroxycostunolide // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-16771 // Ox-NADPH-Hemoprotein-Reductases // WATER,C15H20O3 //  // H2O,248.1412445083d0 // 18.0105646863d0
RXN-15531,"(+)-costunolide (12,6alpha) + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  parthenolide + oxidized [NADPH-hemoprotein reductase] + H2O","(+)-costunolide (12,6&alpha;) // a reduced [NADPH-hemoprotein reductase] // dioxygen",CPD-9410 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C15H20O2 //  // O2,232.1463298862d0 // 31.9898292442d0,parthenolide // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-16766 // Ox-NADPH-Hemoprotein-Reductases // WATER,C15H20O3 //  // H2O,248.1412445083d0 // 18.0105646863d0
RXN-9186,"(+)-delta-cadinene  ->  2,7-dihydroxycadalene",(+)-&delta;-cadinene,CPD-1722,C15H24,204.1878007704d0,"2,7-dihydroxycadalene",CPD-9752,C15H18O2,230.130679822d0
RXN-9045,(+)-delta-cadinene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  8-hydroxy-(+)-delta-cadinene + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-&delta;-cadinene // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-1722 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C15H24 //  // O2,204.1878007704d0 // 31.9898292442d0,8-hydroxy-(+)-&delta;-cadinene // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-9523 // Ox-NADPH-Hemoprotein-Reductases // WATER,C15H24O //  // H2O,220.1827153925d0 // 18.0105646863d0
RXN-7782,"(+)-dihydrokaempferol 3',5'-hydroxylase",(+)-dihydrokaempferol // dioxygen // a reduced [NADPH-hemoprotein reductase],DIHYDROKAEMPFEROL-CMPD // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H12O6 // O2 // ,288.0633881178d0 // 31.9898292442d0,(+)-dihydromyricetin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>,CPD-7087 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C15H11O8 //  // H2O // H,320.053217362d0 // 18.0105646863d0 // 1.0078250321d0
RXN1F-93,(+)-dihydrokaempferol + 2-oxoglutarate + dioxygen  ->  kaempferol + succinate + CO2 + H2O + H+,(+)-dihydrokaempferol // 2-oxoglutarate // dioxygen,DIHYDROKAEMPFEROL-CMPD // 2-KETOGLUTARATE // OXYGEN-MOLECULE,C15H12O6 // C5H4O5 // O2,288.0633881178d0 // 146.0215233031d0 // 31.9898292442d0,kaempferol // succinate // CO<SUB>2</SUB> // H<sub>2</sub>O // H<SUP>+</SUP>,CPD1F-90 // SUC // CARBON-DIOXIDE // WATER // PROTON,C15H9O6 // C4H4O4 // CO2 // H2O // H,286.04773805359997d0 // 118.026608681d0 // 43.989829244199996d0 // 18.0105646863d0 // 1.0078250321d0
RXN-525,(+)-dihydrokaempferol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-taxifolin + oxidized [NADPH-hemoprotein reductase] + H2O + H+,(+)-dihydrokaempferol // a reduced [NADPH-hemoprotein reductase] // dioxygen,DIHYDROKAEMPFEROL-CMPD // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C15H12O6 //  // O2,288.0633881178d0 // 31.9898292442d0,(+)-taxifolin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>,CPD-474 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C15H11O7 //  // H2O // H,304.0583027399d0 // 18.0105646863d0 // 1.0078250321d0
RXN-8450,(+)-dihydromyricetin + 2-oxoglutarate + dioxygen  ->  myricetin + succinate + CO2 + H2O,(+)-dihydromyricetin // 2-oxoglutarate // dioxygen,CPD-7087 // 2-KETOGLUTARATE // OXYGEN-MOLECULE,C15H11O8 // C5H4O5 // O2,320.053217362d0 // 146.0215233031d0 // 31.9898292442d0,myricetin // succinate // CO<SUB>2</SUB> // H<sub>2</sub>O,MYRICETIN // SUC // CARBON-DIOXIDE // WATER,C15H9O8 // C4H4O4 // CO2 // H2O,318.03756729779997d0 // 118.026608681d0 // 43.989829244199996d0 // 18.0105646863d0
RXN-9720,"(+)-gallocatechin + NADP+ + H2O  <-  (2R,3S,4S)-leucodelphinidin + NADPH + H+","(2<i>R</i>,3<i>S</i>,4<i>S</i>)-leucodelphinidin // NADPH // H<SUP>+</SUP>",CPD-7088 // NADPH // PROTON,C15H14O8 // C21H26N7O17P3 // H,322.0688674262d0 // 745.0911021051d0 // 1.0078250321d0,(+)-gallocatechin // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-10358 // NADP // WATER,C15H14O7 // C21H25N7O17P3 // H2O,306.0739528041d0 // 745.0911021051d0 // 18.0105646863d0
RXN-11909,(+)-germacrene A  ->  delta-guaiene,(+)-germacrene A,CPD-9006,C15H24,204.1878007704d0,&delta;-guaiene,CPD-12888,C15H24,204.1878007704d0
RXN-8962,"(+)-germacrene A + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  germacra-1(10),4,11(13)-trien-12-ol + oxidized [NADPH-hemoprotein reductase] + H2O",(+)-germacrene A // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-9006 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H24 // O2 // ,204.1878007704d0 // 31.9898292442d0,"germacra-1(10),4,11(13)-trien-12-ol // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase]",CPD-9411 // WATER // Ox-NADPH-Hemoprotein-Reductases,C15H24O // H2O // ,220.1827153925d0 // 18.0105646863d0
RXN-5164,(+)-isomenthone + NADP+  <-  (+)-pulegone + NADPH + H+,(+)-pulegone // NADPH // H<SUP>+</SUP>,CPD-4942 // NADPH // PROTON,C10H16O // C21H26N7O17P3 // H,152.1201151357d0 // 745.0911021051d0 // 1.0078250321d0,(+)-isomenthone // NADP<sup>+</sup>,CPD-4943 // NADP,C10H18O // C21H25N7O17P3,154.1357651999d0 // 745.0911021051d0
RXN-5165,(+)-isomenthone + NADPH + H+  ->  (+)-isomenthol + NADP+,H<SUP>+</SUP> // (+)-isomenthone // NADPH,PROTON // CPD-4943 // NADPH,H // C10H18O // C21H26N7O17P3,1.0078250321d0 // 154.1357651999d0 // 745.0911021051d0,(+)-isomenthol // NADP<sup>+</sup>,CPD-4944 // NADP,C10H20O // C21H25N7O17P3,156.1514152641d0 // 745.0911021051d0
RXN-5166,(+)-isomenthone + NADPH + H+  ->  (+)-neoisomenthol + NADP+,H<SUP>+</SUP> // (+)-isomenthone // NADPH,PROTON // CPD-4943 // NADPH,H // C10H18O // C21H26N7O17P3,1.0078250321d0 // 154.1357651999d0 // 745.0911021051d0,(+)-neoisomenthol // NADP<sup>+</sup>,CPD-4945 // NADP,C10H20O // C21H25N7O17P3,156.1514152641d0 // 745.0911021051d0
RXN-8535,"(+)-isopimara-7,15-diene + NADPH + H+ + dioxygen  ->  isopimara-7,15-dienol + NADP+ + H2O","H<SUP>+</SUP> // (+)-isopimara-7,15-diene // NADPH // dioxygen",PROTON // CPD-8699 // NADPH // OXYGEN-MOLECULE,H // C20H32 // C21H26N7O17P3 // O2,1.0078250321d0 // 272.2504010272d0 // 745.0911021051d0 // 31.9898292442d0,"isopimara-7,15-dienol // NADP<sup>+</sup> // H<sub>2</sub>O",CPD-8726 // NADP // WATER,C20H32O // C21H25N7O17P3 // H2O,288.2453156493d0 // 745.0911021051d0 // 18.0105646863d0
RXN-8678,(+)-lariciresinol + NADP+  <-  (+)-pinoresinol + NADPH + H+,H<SUP>+</SUP> // (+)-pinoresinol // NADPH,PROTON // CPD-8905 // NADPH,H // C20H22O6 // C21H26N7O17P3,1.0078250321d0 // 358.1416384388d0 // 745.0911021051d0,(+)-lariciresinol // NADP<sup>+</sup>,CPD-8907 // NADP,C20H24O6 // C21H25N7O17P3,360.15728850299996d0 // 745.0911021051d0
RXN-4561,maackiain 6a-hydroxylase,(+)-maackiain // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-4462 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C16H12O5 //  // O2,284.0684734957d0 // 31.9898292442d0,(+)-6a-hydroxymaackiain // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-3942 // Ox-NADPH-Hemoprotein-Reductases // WATER,C16H12O6 //  // H2O,300.0633881178d0 // 18.0105646863d0
RXN-8386,(+)-marmesin[endoplasmic reticulum lumen] + reduced [NADPH-hemoprotein reductase][endoplasmic reticulum lumen] + dioxygen[endoplasmic reticulum lumen]  ->  psoralen[endoplasmic reticulum lumen] + oxidized [NADPH-hemoprotein reductase][endoplasmic reticulum lumen] + acetone[endoplasmic reticulum lumen] + 2 H2O[endoplasmic reticulum lumen],(+)-marmesin // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8191 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C14H14O4 //  // O2,246.08920893779998d0 // 31.9898292442d0,psoralen // an oxidized [NADPH-hemoprotein reductase] // acetone // H<sub>2</sub>O,PHYTOALEXIN-CMPD // Ox-NADPH-Hemoprotein-Reductases // ACETONE // WATER,C11H6O3 //  // C3H6O // H2O,186.0316940589d0 // 58.0418648147d0 // 18.0105646863d0
(+)-@NEOMENTHOL-@DEHYDROGENASE-@RXN,(+)-neomenthol + NADP+  <-  (-)-menthone + NADPH + H+,H<SUP>+</SUP> // NADPH // (-)-menthone,PROTON // NADPH // CPD-1909,H // C21H26N7O17P3 // C10H18O,1.0078250321d0 // 745.0911021051d0 // 154.1357651999d0,NADP<sup>+</sup> // (+)-neomenthol,NADP // CPD-1905,C21H25N7O17P3 // C10H20O,745.0911021051d0 // 156.1514152641d0
RXN-8695,(+)-pinoresinol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-piperitol + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-pinoresinol // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8905 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H22O6 //  // O2,358.1416384388d0 // 31.9898292442d0,(+)-piperitol // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-8921 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H20O6 //  // H2O,356.12598837459996d0 // 18.0105646863d0
RXN-8696,(+)-piperitol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-sesamin + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-piperitol // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8921 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H20O6 //  // O2,356.12598837459996d0 // 31.9898292442d0,(+)-sesamin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-8922 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H18O6 //  // H2O,354.1103383104d0 // 18.0105646863d0
1.14.13.104-RXN,(+)-pulegone + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-menthofuran + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-pulegone // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-4942 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C10H16O //  // O2,152.1201151357d0 // 31.9898292442d0,(+)-menthofuran // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-4981 // Ox-NADPH-Hemoprotein-Reductases // WATER,C10H14O //  // H2O,150.1044650715d0 // 18.0105646863d0
RXN-8684,(+)-secoisolariciresinol + NADP+  <-  (-)-lariciresinol + NADPH + H+,(-)-lariciresinol // NADPH // H<SUP>+</SUP>,CPD-8908 // NADPH // PROTON,C20H24O6 // C21H26N7O17P3 // H,360.15728850299996d0 // 745.0911021051d0 // 1.0078250321d0,(+)-secoisolariciresinol // NADP<sup>+</sup>,CPD-8910 // NADP,C20H26O6 // C21H25N7O17P3,362.1729385672d0 // 745.0911021051d0
RXN-15442,(+)-secoisolariciresinol + UDP-alpha-D-glucose  ->  (+)-secoisolariciresinol monoglucoside + UDP + H+,(+)-secoisolariciresinol // UDP-&alpha;-D-glucose,CPD-8910 // CPD-12575,C20H26O6 // C15H22N2O17P2,362.1729385672d0 // 566.0550203765d0,(+)-secoisolariciresinol monoglucoside // UDP // H<SUP>+</SUP>,CPD-16683 // UDP // PROTON,C26H36O11 // C9H11N2O12P2 // H,524.2257619987d0 // 404.002196945d0 // 1.0078250321d0
RXN-15443,(+)-secoisolariciresinol monoglucoside + UDP-alpha-D-glucose  ->  (+)-secoisolariciresinol diglucoside + UDP + H+,(+)-secoisolariciresinol monoglucoside // UDP-&alpha;-D-glucose,CPD-16683 // CPD-12575,C26H36O11 // C15H22N2O17P2,524.2257619987d0 // 566.0550203765d0,(+)-secoisolariciresinol diglucoside // UDP // H<SUP>+</SUP>,CPD-16684 // UDP // PROTON,C32H46O16 // C9H11N2O12P2 // H,686.2785854302d0 // 404.002196945d0 // 1.0078250321d0
RXN-13817,sesamin hydroxylase,(+)-sesamin // dioxygen // a reduced two electron carrier,CPD-8922 // OXYGEN-MOLECULE // Donor-H2,C20H18O6 // O2 // ,354.1103383104d0 // 31.9898292442d0,(+)-sesaminol // H<sub>2</sub>O // an oxidized electron carrier,CPD-14837 // WATER // Acceptor,C20H18O7 // H2O // ,370.1052529325d0 // 18.0105646863d0
