kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,Δm/z,mzDiff,REACTION ID,ENZYME ID,COMMENT,PATHWAY
C08733,C08737,C1(=NC(=O)N=C(N1)N)N,C1(=NC(=NC(=N1)N)N)N,127.0494,126.0654,C3H5N5O,C3H6N6,0.984,0.9840 ,R06968,3.5.4.45///3.8.1.8,"melamine aminohydrolase, TriA",rn00791: Atrazine degradation///rn01120: Microbial metabolism in diverse environments
C08733,C08734,C1(=NC(=O)N=C(N1)N)N,C1(=NC(=O)NC(=O)N1)N,127.0494,128.0334,C3H5N5O,C3H4N4O2,-0.984,0.9840 ,R06969,3.5.4.45,"ammeline aminohydrolase, TrzB",rn00791: Atrazine degradation///rn01120: Microbial metabolism in diverse environments
C06554,C08734,C1(=O)NC(=O)NC(=O)N1,C1(=NC(=O)NC(=O)N1)N,129.0174,128.0334,C3H3N3O3,C3H4N4O2,0.984,0.9840 ,R06967,3.5.4.42,0,rn00791: Atrazine degradation///rn01120: Microbial metabolism in diverse environments
C00212,C00294,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,267.0968,268.0808,C10H13N5O4,C10H12N4O5,-0.984,0.9840 ,R01560,3.5.4.4,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01232: Nucleotide metabolism
C00366,C20155,C12=C(NC(=O)N1)NC(=O)NC2=O,C12=C(NC(=NC1=O)N)NC(=O)N2,168.0283,167.0443,C5H4N4O3,C5H5N5O2,0.984,0.9840 ,R09876,3.5.4.32,0,0
C00170,C19787,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2NC=NC3=O)O)O,297.0896,298.0736,C11H15N5O3S,C11H14N4O4S,-0.984,0.9840 ,R09660,3.5.4.31,0,rn00270: Cysteine and methionine metabolism///rn01100: Metabolic pathways
C00242,C00385,C1=NC2=C(N1)C(=O)N=C(N2)N,C1=NC2=C(N1)C(=O)NC(=O)N2,151.0494,152.0334,C5H5N5O,C5H4N4O2,-0.984,0.9840 ,R01676,3.5.4.3,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01232: Nucleotide metabolism
C00021,C03431,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O,384.1216,385.1056,C14H20N6O5S,C14H19N5O6S,-0.984,0.9840 ,R00193,3.5.4.28,0,rn00270: Cysteine and methionine metabolism///rn01100: Metabolic pathways
C00835,C02333,C[C@@H](C(=O)C1=NC2=C(NC1)NC(=NC2=O)N)O,CC(C(=O)C1=NC2=C(NC1)NC(=O)NC2=O)O,237.0862,238.0702,C9H11N5O3,C9H10N4O4,-0.984,0.9840 ,R02974,3.5.4.24,0,0
C02010,C03860,CN(CCC(CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,CN(CCC(CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(=O)O)N2C=CC(=O)NC2=O)N)C(=N)N,422.2026,423.1866,C17H26N8O5,C17H25N7O6,-0.984,0.9840 ,R03800,3.5.4.23,0,0
C00433,C04282,C(CC(=O)C(=O)O)C=O,C1C(CN=C1C(=O)O)O,130.0266,129.0426,C5H6O4,C5H7NO3,0.984,0.9840 ,R02280,3.5.4.22,possibly two-step reaction (see R04446+R09253),rn00470: D-Amino acid metabolism///rn01100: Metabolic pathways
C00791,C02565,CN1CC(=O)N=C1N,CN1CC(=O)NC1=O,113.0589,114.0429,C4H7N3O,C4H6N2O2,-0.984,0.9840 ,R02922,3.5.4.21,0,rn00330: Arginine and proline metabolism///rn01100: Metabolic pathways
C04905,C04908,CC1=C(C=CC=[N+]1CC2=CN=C(N=C2N)C)CCO.[Br-],CC1=C(C=CC=[N+]1CC2=CN=C(NC2=O)C)CCO.[Br-],338.0742,339.0582,C14H19N4O. Br,C14H18N3O2. Br,-0.984,0.9840 ,R04641,3.5.4.20,0,0
C00147,C00262,C1=NC2=C(N1)C(=NC=N2)N,C1=NC2=C(N1)C(=O)N=CN2,135.0545,136.0385,C5H5N5,C5H4N4O,-0.984,0.9840 ,R01244,3.5.4.2,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01232: Nucleotide metabolism
C00387,C01762,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,283.0917,284.0757,C10H13N5O5,C10H12N4O6,-0.984,0.9840 ,R02145,3.5.4.15,0,0
C00458,C00460,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,466.9896,467.9736,C9H16N3O13P3,C9H15N2O14P3,-0.984,0.9840 ,R02325,3.5.4.13,0,rn00240: Pyrimidine metabolism///rn01100: Metabolic pathways///rn01232: Nucleotide metabolism
C00715,C03212,C1=CN=C2C(=N1)C(=O)N=C(N2)N,C1=CN=C2C(=N1)C(=O)NC(=O)N2,163.0494,164.0334,C6H5N5O,C6H4N4O2,-0.984,0.9840 ,R02815,3.5.4.11,0,0
C00178,C02376,CC1=CNC(=O)NC1=O,CC1=C(NC(=O)N=C1)N,126.0429,125.0589,C5H6N2O2,C5H7N3O,0.984,0.9840 ,R01411,3.5.4.1,0,rn00240: Pyrimidine metabolism///rn01100: Metabolic pathways
C14148,C14149,C1CC1NC2=NC(=O)N=C(N2)N,C1CC1NC2=NC(=O)NC(=O)N2,167.0807,168.0647,C6H9N5O,C6H8N4O2,-0.984,0.9840 ,R06971,3.5.4.-,N-cyclopropylammeline deaminase,rn00791: Atrazine degradation///rn01120: Microbial metabolism in diverse environments
C01044,C03409,C([C@@H](C(=O)O)NC=O)C(=O)O,C([C@@H](C(=O)O)N=CN)C(=O)O,161.0324,160.0484,C5H7NO5,C5H8N2O4,0.984,0.9840 ,R03188,3.5.3.5,0,rn00340: Histidine metabolism///rn01100: Metabolic pathways
C06381,C06382,C(NC(=O)N)NC(=O)N,C(NC(=O)N)NC(=O)O,132.0647,133.0487,C3H8N4O2,C3H7N3O3,-0.984,0.9840 ,R05170,3.5.3.21,0,0
C00439,C01045,C(CC(=O)O)[C@@H](C(=O)O)N=CN,C(CC(=O)O)[C@@H](C(=O)O)NC=O,174.0641,175.0481,C6H10N2O4,C6H9NO5,-0.984,0.9840 ,R02286,3.5.3.13,0,rn00340: Histidine metabolism///rn01100: Metabolic pathways
C00712,C19670,CCCCCCCC/C=C\CCCCCCCC(=O)O,CCCCCCCC/C=C\CCCCCCCC(=O)N,282.2559,281.2719,C18H34O2,C18H35NO,0.984,0.9840 ,R09537,3.5.1.99,0,0
C01983,C07301,C1=CC=C(C=C1)[C@H](C(=O)O)O,C1=CC=C(C=C1)[C@H](C(=O)N)O,152.0473,151.0633,C8H8O3,C8H9NO2,0.984,0.9840 ,R05783,3.5.1.86,0,rn00627: Aminobenzoate degradation///rn01120: Microbial metabolism in diverse environments
C01010,C06555,C(=O)(N)NC(=O)O,C(=O)(N)NC(=O)N,104.0222,103.0382,C2H4N2O3,C2H5N3O2,0.984,0.9840 ,R05563,3.5.1.84,0,rn00791: Atrazine degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C00078,C00977,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,204.0899,203.1059,C11H12N2O2,C11H13N3O,0.984,0.9840 ,R00682,3.5.1.57,0,0
C00803,C01842,CCCCC(=O)O,CCCCC(=O)N,102.0681,101.0841,C5H10O2,C5H11NO,0.984,0.9840 ,R02938,3.5.1.50,0,0
C00954,C02693,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,175.0633,174.0793,C10H9NO2,C10H10N2O,0.984,0.9840 ,R03096,3.5.1.4///3.5.1.-,0,rn00380: Tryptophan metabolism///rn01100: Metabolic pathways
C02505,C07086,C1=CC=C(C=C1)CC(=O)N,C1=CC=C(C=C1)CC(=O)O,135.0684,136.0524,C8H9NO,C8H8O2,-0.984,0.9840 ,R02540,3.5.1.4,0,rn00360: Phenylalanine metabolism///rn00643: Styrene degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C00431,C00990,C(CCN)CC(=O)O,C(CCN)CC(=O)N,117.079,116.095,C5H11NO2,C5H12N2O,0.984,0.9840 ,R02273,3.5.1.30,0,rn00310: Lysine degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C00026,C00940,C(CC(=O)O)C(=O)C(=O)O,C(CC(=O)N)C(=O)C(=O)O,146.0215,145.0375,C5H6O5,C5H7NO4,0.984,0.9840 ,R00269,3.5.1.3///3.5.1.111,0,"rn00250: Alanine, aspartate and glutamate metabolism///rn01100: Metabolic pathways"
C00036,C02362,C(C(=O)C(=O)O)C(=O)O,C(C(=O)C(=O)O)C(=O)N,132.0059,131.0219,C4H4O5,C4H5NO4,0.984,0.9840 ,R00348,3.5.1.3,0,"rn00250: Alanine, aspartate and glutamate metabolism///rn01100: Metabolic pathways"
C19782,C19783,C1CN[C@@H](CN1)C(=O)N,C1CN[C@@H](CN1)C(=O)O,129.0902,130.0742,C5H11N3O,C5H10N2O2,-0.984,0.9840 ,R09649,3.5.1.101,0,0
C19778,C19780,C1CN[C@H](CN1)C(=O)N,C1CN[C@H](CN1)C(=O)O,129.0902,130.0742,C5H11N3O,C5H10N2O2,-0.984,0.9840 ,R09647,3.5.1.100,0,0
C03925,C16246,C1=C(C=C(C(=C1Br)O)Br)C(=O)O,C1=C(C=C(C(=C1Br)O)Br)C(=O)N,293.8527,292.8687,C7H4Br2O3,C7H5Br2NO2,0.984,0.9840 ,R07782,3.5.1.-,amidase,rn00364: Fluorobenzoate degradation///rn01120: Microbial metabolism in diverse environments
C00117,C03090,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O,C([C@@H]1[C@H]([C@H]([C@@H](O1)N)O)O)OP(=O)(O)O,230.0192,229.0351,C5H11O8P,C5H12NO7P,0.9841,0.9840 ,R01053,6.3.4.7,0,rn00230: Purine metabolism///rn01100: Metabolic pathways
C01279,C20267,CC1=NC=C(C(=N1)N)CO,CC1=NC=C(C(=N1)N)CN,139.0746,138.0905,C6H9N3O,C6H10N4,0.9841,0.9840 ,R09993,3.5.99.2///3.5.99.-,0,rn00730: Thiamine metabolism///rn01100: Metabolic pathways
C01268,C01304,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)N=C(N2)N)N)O)O)OP(=O)(O)O,354.0577,353.0736,C9H15N4O9P,C9H16N5O8P,0.9841,0.9840 ,R03459,3.5.4.26,0,rn00740: Riboflavin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01240: Biosynthesis of cofactors
C00239,C00365,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,307.0569,308.041,C9H14N3O7P,C9H13N2O8P,-0.9841,0.9840 ,R01663,3.5.4.12,0,rn00240: Pyrimidine metabolism///rn01100: Metabolic pathways///rn01232: Nucleotide metabolism
C00603,C02091,[C@H](C(=O)O)(NC(=O)N)O,[C@H](C(=O)O)(N)NC(=O)N,134.0328,133.0487,C3H6N2O4,C3H7N3O3,0.9841,0.9840 ,R05554,3.5.3.26,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C00179,C00436,C(CCN=C(N)N)CN,C(CCNC(=O)N)CN,130.1218,131.1059,C5H14N4,C5H13N3O,-0.9841,0.9840 ,R01416,3.5.3.12,0,rn00330: Arginine and proline metabolism///rn01100: Metabolic pathways
C00217,C00819,C(CC(=O)O)[C@H](C(=O)O)N,C(CC(=O)N)[C@H](C(=O)O)N,147.0532,146.0691,C5H9NO4,C5H10N2O3,0.9841,0.9840 ,R01579,3.5.1.2///3.5.1.35///3.5.1.38,0,rn00470: D-Amino acid metabolism///rn01100: Metabolic pathways
C00120,C01893,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)N)NC(=O)N2,244.0882,243.1041,C10H16N2O3S,C10H17N3O2S,0.9841,0.9840 ,R01076,3.5.1.12,0,0
C01384,C01596,C(=C\C(=O)O)\C(=O)O,C(=C\C(=O)O)\C(=O)N,116.011,115.0269,C4H4O4,C4H5NO3,0.9841,0.9840 ,R03540,3.5.1.107,0,rn00760: Nicotinate and nicotinamide metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C05316,C06165,CN1CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C(=C4)OC)OCO6)OC)OCO3,C[N+]1=CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C(=C4)OC)OCO6)OC)OCO3,393.1212,392.1134,C22H19NO6,C22H18NO6,1.0078,1.0078 ,R04768,1.5.3.12,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C09023,C20457,CC1=C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,CC1=C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)[N+](=C1)C,238.147,237.1392,C16H18N2,C16H17N2,1.0078,1.0078 ,R10229,1.5.1.46,0,rn00901: Indole alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C20408,C20409,C[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,CC1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)[N+](=C1)C,240.1626,239.1548,C16H20N2,C16H19N2,1.0078,1.0078 ,R10163,1.5.1.44,0,rn00901: Indole alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C05178,C06167,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)O)O)OC,C[N+]1=C(C2=CC(=C(C=C2CC1)OC)O)CC3=CC(=C(C=C3)OC)O,329.1627,328.1549,C19H23NO4,C19H22NO4,1.0078,1.0078 ,R04695,1.5.1.27,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C02151,C03677,C/C=C\1/CN2CCC3=C([C@@H]2C[C@@H]1C(C=O)C(=O)OC)NC4=CC=CC=C34,C/C=C\1/C=[N+]2CCC3=C([C@@H]2C[C@@H]1/C(=C/O)/C(=O)OC)NC4=CC=CC=C34,352.1787,351.1709,C21H24N2O3,C21H23N2O3,1.0078,1.0078 ,R03860,1.3.1.36,0,rn00901: Indole alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C02105,C06167,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC,C[N+]1=C(C2=CC(=C(C=C2CC1)OC)O)CC3=CC(=C(C=C3)OC)O,329.1627,328.1549,C19H23NO4,C19H22NO4,1.0078,1.0078 ,R03833,1.14.19.54,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C03150,C15497,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,255.0981,256.1059,C11H15N2O5,C11H16N2O5,-1.0078,1.0078 ,R07361,1.10.5.1,0,0
C02636,C15025,C[N+](C)(C)CC(=O)CC(=O)O,C[N+](C)(C)C[C@H](CC(=O)[O-])O,160.0974,161.1052,C7H14NO3,C7H15NO3,-1.0078,1.0078 ,R01921,1.1.1.254,0,0
C20359,C20395,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)N,CC(=O)N[C@H]1[C@H](O[C@@H]([C@H](C1=O)O)C(=O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O,620.0768,619.0452,C17H26N4O17P2,C17H23N3O18P2,1.0316,1.0316 ,R10141,2.6.1.98,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C15652,C17589,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CN)O)O)N)O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C=O)O)O)N)O)O)N,614.3123,613.2807,C23H46N6O13,C23H43N5O14,1.0316,1.0316 ,R08903,2.6.1.95,0,"rn00524: Neomycin, kanamycin and gentamicin biosynthesis///rn01110: Biosynthesis of secondary metabolites"
C01441,C17583,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C=O)O)O)N)O)O)N,322.1852,321.1536,C12H26N4O6,C12H23N3O7,1.0316,1.0316 ,R08897,2.6.1.93,0,"rn00524: Neomycin, kanamycin and gentamicin biosynthesis///rn01110: Biosynthesis of secondary metabolites"
C19823,C19961,C[C@H]1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O,C[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)N,589.071,590.1026,C17H25N3O16P2,C17H28N4O15P2,-1.0316,1.0316 ,R09825,2.6.1.92,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C19947,C19960,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)N)O,C[C@@H]1[C@@H](C(=O)[C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O,547.0968,546.0652,C16H27N3O14P2,C16H24N2O15P2,1.0316,1.0316 ,R09824,2.6.1.90,0,rn00523: Polyketide sugar unit biosynthesis///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01250: Biosynthesis of nucleotide sugars
C01100,C01267,C1=C(NC=N1)C[C@@H](COP(=O)(O)O)N,C1=C(NC=N1)CC(=O)COP(=O)(O)O,221.0565,220.0249,C6H12N3O4P,C6H9N2O5P,1.0316,1.0316 ,R03243,2.6.1.9,0,rn00340: Histidine metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01230: Biosynthesis of amino acids
C11908,C11925,C[C@@H]1[C@H](C(=O)[C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)N)O,546.0652,547.0968,C16H24N2O15P2,C16H27N3O14P2,-1.0316,1.0316 ,R06423,2.6.1.89,0,rn00523: Polyketide sugar unit biosynthesis///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01250: Biosynthesis of nucleotide sugars
C16153,C16155,C1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)O)O)N,C1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)O)O,535.0604,534.0288,C14H23N3O15P2,C14H20N2O16P2,1.0316,1.0316 ,R07659,2.6.1.87,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C03415,C05932,C(C[C@@H](C(=O)O)NC(=O)CCC(=O)O)CN,C(C[C@@H](C(=O)O)NC(=O)CCC(=O)O)C=O,232.1059,231.0743,C9H16N2O5,C9H13NO6,1.0316,1.0316 ,R04217,2.6.1.81,0,rn00330: Arginine and proline metabolism///rn01100: Metabolic pathways
C05324,C15486,C1CN([C@@H]1C(=O)O)CC[C@@H](C(=O)O)NCC[C@@H](C(=O)O)N,C1CN([C@@H]1C(=O)O)CC[C@@H](C(=O)O)NCCC(=O)C(=O)O,303.143,302.1114,C12H21N3O6,C12H18N2O7,1.0316,1.0316 ,R07277,2.6.1.80,0,rn00999: Biosynthesis of various plant secondary metabolites///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C03493,C03590,C1=CC(=CC=C1[C@H](C(=O)O)N)O,C1=CC(=CC=C1C(=O)C(=O)O)O,167.0582,166.0266,C8H9NO3,C8H6O4,1.0316,1.0316 ,R04234,2.6.1.72,0,0
C00902,C01933,CCCCC(=O)C(=O)O,CCCC[C@@H](C(=O)O)N,130.063,131.0946,C6H10O3,C6H13NO2,-1.0316,1.0316 ,R03053,2.6.1.67,0,0
C03682,C03846,CC(=O)NCCCC(=O)CC(=O)O,CC(=O)NCCCC(CC(=O)O)N,187.0845,188.1161,C8H13NO4,C8H16N2O3,-1.0316,1.0316 ,R04028,2.6.1.65,0,0
